1D 255 -512,000000 260608,000000	[nbin xmin xmax]
"X"	"Function_0"
130048,000000	249,393594
131072,000000	249,805313
132096,000000	250,452812
133120,000000	250,812891
134144,000000	251,425078
135168,000000	251,713594
136192,000000	252,225234
137216,000000	252,613516
138240,000000	253,017500
139264,000000	253,374531
140288,000000	253,839531
141312,000000	254,218359
142336,000000	254,482422
143360,000000	254,790391
144384,000000	255,221797
145408,000000	255,574531
146432,000000	255,883906
147456,000000	256,082656
148480,000000	256,587578
149504,000000	256,902500
150528,000000	257,204766
151552,000000	257,424531
152576,000000	257,679297
153600,000000	257,835469
154624,000000	258,192344
155648,000000	258,439453
156672,000000	258,787344
157696,000000	258,897266
158720,000000	259,241953
159744,000000	259,434141
160768,000000	259,756562
161792,000000	259,892969
162816,000000	260,053906
163840,000000	260,361875
164864,000000	260,626250
165888,000000	260,744453
166912,000000	260,905703
167936,000000	261,212812
168960,000000	261,339063
169984,000000	261,470937
171008,000000	261,605703
172032,000000	261,796641
173056,000000	261,989219
174080,000000	262,095547
175104,000000	262,429062
176128,000000	262,436719
177152,000000	262,704141
178176,000000	262,762578
179200,000000	262,901875
180224,000000	263,106875
181248,000000	263,173125
182272,000000	263,218828
183296,000000	263,415156
184320,000000	263,529219
185344,000000	263,563750
186368,000000	263,736484
187392,000000	263,761250
188416,000000	263,918437
189440,000000	263,947656
190464,000000	264,120469
191488,000000	264,185859
192512,000000	264,290703
193536,000000	264,200625
194560,000000	264,310625
195584,000000	264,464531
196608,000000	264,539531
197632,000000	264,769766
198656,000000	264,673203
199680,000000	264,887656
200704,000000	264,982109
201728,000000	264,983594
202752,000000	265,085781
203776,000000	265,177891
204800,000000	265,327344
205824,000000	265,178203
206848,000000	265,492187
207872,000000	265,367734
208896,000000	265,462656
209920,000000	265,629063
210944,000000	265,772422
211968,000000	265,695703
212992,000000	265,984141
214016,000000	265,926016
215040,000000	265,844297
216064,000000	266,010859
217088,000000	266,128359
218112,000000	266,111094
219136,000000	266,259531
220160,000000	266,251562
221184,000000	266,268828
222208,000000	266,344922
223232,000000	266,542109
224256,000000	266,454844
225280,000000	266,510078
226304,000000	266,484609
227328,000000	266,597344
228352,000000	266,538672
229376,000000	266,711641
230400,000000	266,635469
231424,000000	266,741719
232448,000000	266,718984
233472,000000	266,770234
234496,000000	266,833906
235520,000000	266,970078
236544,000000	266,918047
237568,000000	266,982969
238592,000000	266,942344
239616,000000	267,045156
240640,000000	266,976250
241664,000000	266,947266
242688,000000	267,008125
243712,000000	267,049609
244736,000000	267,045469
245760,000000	267,159375
246784,000000	267,181094
247808,000000	267,244063
248832,000000	267,210625
249856,000000	267,182734
250880,000000	267,243750
251904,000000	267,212891
252928,000000	267,232031
253952,000000	267,231172
254976,000000	267,300547
256000,000000	267,422187
257024,000000	267,301250
258048,000000	267,367188
259072,000000	267,334844
260096,000000	267,406953
